	x	y	z
0	0.000646472	0.009097502	0.008483558
1	0.000668364	0.005741871	-0.011269056
2	0.000668364	-0.004429268	0.011846615
3	0.00069062	-0.01059481	0.007281611
4	0.000724685	0.011167197	-0.006978039
5	0.00074785	-0.013343688	0.000933082
6	0.000771377	-0.011059259	-0.007888493
7	0.000946236	0.014457364	0.004145583
8	0.001153303	-0.008423647	-0.014300515
9	0.001211961	0.003682031	0.016608568
10	0.001256905	0.017004477	-0.003305335
11	0.001302663	-0.002301641	-0.017482696
12	0.00133362	-0.017191834	-0.004767718
13	0.001364939	-0.011235005	0.014124337
14	0.00142866	0.010456868	0.015214837
15	0.001461062	0.004674269	-0.018074056
16	0.001461062	-0.017428731	0.006690263
17	0.001477399	-0.002936609	0.01854102
18	0.001510343	0.011421828	-0.015157278
19	0.001751052	0.01768869	-0.01021257
20	0.001859618	-0.01551527	-0.014217125
21	0.001952565	0.021263617	0.003558309
22	0.001990372	0.019217609	0.010218184
23	0.002009411	-0.021827474	0.001335026
24	0.002164954	-0.00813189	-0.021184297
25	0.002184801	-0.009452632	0.020741907
26	0.002346805	-0.021226116	-0.010352669
27	0.002429958	0.023821208	-0.003136122
28	0.002429958	0.003136122	0.023821208
29	0.002493263	0.010476262	-0.021963939
30	0.002535913	-0.017652258	0.017046587
31	0.002557373	0.017874692	0.01696245
32	0.002557373	0.010995217	0.022052994
33	0.002622288	-0.022029015	0.011713035
34	0.002754531	0.016938985	-0.019146039
35	0.002754531	-0.002672129	-0.025423606
36	0.002776884	-0.025236174	-0.004677248
37	0.002821858	-0.015023079	-0.021061581
38	0.002889989	-0.003416809	0.025953239
39	0.003005323	0.004174912	-0.026359354
40	0.003005323	0.024744615	-0.009997473
41	0.003170532	-0.026644982	0.006396894
42	0.00324267	-0.021684404	-0.017248554
43	0.003389348	-0.015630208	0.023614668
44	0.003539223	0.028889361	0.001514027
45	0.003666558	0.024113286	-0.016884304
46	0.003666558	-0.009340461	-0.027915696
47	0.003718112	0.027671213	0.010621984
48	0.003718112	0.017630477	0.023826222
49	0.003718112	0.008418181	0.028419303
50	0.003848547	0.024694955	0.017291593
51	0.003981193	0.010735079	-0.028712272
52	0.003981193	-0.010484111	0.028804859
53	0.003981193	-0.030648822	-0.000534977
54	0.004088901	-0.028032751	-0.013370937
55	0.004198021	0.030775166	-0.006541463
56	0.004198021	0.0005491	0.03145791
57	0.004198021	-0.026535373	0.016904897
58	0.00447699	0.022352287	-0.023554395
59	0.004562398	-0.031868822	-0.007651027
60	0.004591043	-0.004291062	-0.032593855
61	0.004619776	-0.021850431	-0.024697419
62	0.004648596	-0.030981821	0.011583628
63	0.004648596	-0.016287639	-0.028788305
64	0.004677505	-0.022414146	0.024460748
65	0.004706502	0.030281471	-0.013800062
66	0.004735586	0.005221526	-0.032967415
67	0.004941632	0.033455662	0.006503122
68	0.004971418	0.018113825	-0.02898818
69	0.005001291	0.014759041	0.030942974
70	0.005061301	-0.034058716	0.005394371
71	0.005151971	-0.00633889	0.034201591
72	0.005212856	0.025165705	0.024302239
73	0.00527409	-0.027913927	-0.02141911
74	0.005366597	0.006466621	0.034890767
75	0.005397607	0.031846229	0.015877944
76	0.005553966	0.036017391	-0.002202918
77	0.005553966	-0.011150784	-0.034318585
78	0.005808672	0.030577222	-0.020624597
79	0.005808672	-0.015001584	0.033694109
80	0.005905622	0.021591476	0.030270134
81	0.005905622	-0.037040132	-0.003240592
82	0.005938112	0.013965773	-0.0345665
83	0.005938112	-0.029377964	0.022952581
84	0.006068943	0.000328808	-0.03767766
85	0.006068943	0.03621947	-0.010385766
86	0.006101867	-0.033509942	-0.017444172
87	0.006201161	0.000332276	0.038075109
88	0.006334767	-0.034280192	0.01746663
89	0.00643588	-0.023061875	0.031166336
90	0.006503721	0.02803206	-0.027070246
91	0.006537771	0.03180601	0.022687007
92	0.006537771	-0.023511817	-0.031201235
93	0.00664044	0.037543151	0.01183731
94	0.006743886	-0.037928698	0.011595967
95	0.00677854	-0.01805091	-0.035426906
96	0.006813281	0.008627139	-0.03891451
97	0.006813281	-0.038589722	-0.009979981
98	0.006848108	0.039806042	0.003482577
99	0.006988277	-0.040254528	0.002814871
100	0.007058878	-0.010836518	0.039075221
101	0.007201112	-0.007812483	-0.040191741
102	0.007344721	0.03699434	-0.018444697
103	0.007380837	0.028783714	0.029806409
104	0.007526161	-0.03008901	-0.029056619
105	0.007599337	0.041615902	-0.005848734
106	0.007599337	0.006574141	0.04150749
107	0.007672856	-0.030114146	0.029593089
108	0.007709743	0.013428018	0.040132114
109	0.007820919	0.020659113	0.037270026
110	0.007858148	-0.00483499	0.042436163
111	0.007858148	-0.035408787	-0.023883528
112	0.008045576	-0.02094359	0.037783236
113	0.008121144	0.035328501	-0.025199575
114	0.008121144	-0.040091705	-0.016606528
115	0.008159056	0.027370758	-0.033800071
116	0.008235135	-0.036639586	0.023794025
117	0.008273302	0.015333905	-0.041012392
118	0.008273302	-0.014615805	-0.04127376
119	0.008311554	-0.043555602	-0.005347956
120	0.008426822	0.022087473	-0.038256626
121	0.008620633	0.043764764	0.008904042
122	0.008620633	-0.040800177	0.018165409
123	0.008620633	-0.043840799	0.008521788
124	0.00865965	-0.002732443	-0.04467505
125	0.008737937	0.038328555	0.023487769
126	0.008856005	0.042095738	0.016581952
127	0.008856005	-0.027542754	0.035894415
128	0.008974834	0.006337211	-0.045091598
129	0.008974834	-0.0270851	-0.036603412
130	0.009014613	0.045629872	-0.000398206
131	0.009014613	0.027461788	0.036443024
132	0.009014613	0.001194496	0.045615973
133	0.009376422	0.043413236	-0.01666478
134	0.009376422	-0.046494788	0.00081157
135	0.009376422	-0.021831306	-0.041058715
136	0.009457751	0.035770349	0.030014886
137	0.009498542	0.034221007	-0.031911605
138	0.00962142	-0.017636648	0.043652237
139	0.009745055	-0.009443912	-0.046418311
140	0.009827898	-0.036434316	-0.030572021
141	0.009869445	0.019003482	0.043705017
142	0.009911076	-0.011147912	0.046434393
143	0.009911076	-0.045903933	-0.013162741
144	0.010036472	-0.04222003	-0.022923606
145	0.010078439	0.047171446	-0.009597139
146	0.010120489	0.00961626	0.047265427
147	0.01041718	-0.038536913	0.030108336
148	0.010502701	-0.004705569	0.048869204
149	0.010588555	-0.047132687	0.014409909
150	0.010717961	0.029486871	-0.03984922
151	0.010717961	-0.034435974	0.035659495
152	0.010804647	0.040512985	-0.028897631
153	0.010935301	0.048110082	0.013795344
154	0.010935301	0.034133262	0.036603442
155	0.010935301	-0.033812541	-0.036899913
156	0.010935301	0.025777084	0.042900273
157	0.010979019	0.017560816	-0.046968536
158	0.010979019	-0.016325305	-0.04741213
159	0.011022819	0.049809365	0.006557527
160	0.011022819	-0.026249893	0.042835933
